"Freq [GHz]","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='11.992mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='23.984mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='35.976mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='47.968mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='59.96mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='71.952mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='83.944mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='95.936mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='107.928mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='119.92mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='131.912mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='143.904mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='155.892mm'"
1,113.870164082373,107.905354299891,101.940111025727,95.9754072804169,90.0107920242832,84.0467578826906,78.0826455181633,72.1161940958217,66.1512683489017,60.1866516686375,54.2219521703399,48.2573227300423,42.2950043369043
1.01,111.408910995401,105.384460487312,99.35954648609,93.3352492514337,87.3109958071697,81.2873033478445,75.2636643637865,69.2373807592323,63.212792914313,57.1885526144863,51.1642166597091,45.139954368523,39.1180433760294
1.02,108.947659594745,102.863568258655,96.7789833900043,90.6950889656694,84.6111985321024,78.5278526643713,72.4446736444892,66.3585696451832,60.2743212224325,54.1904558317133,48.1064841785539,42.0225903361248,35.9410872212413
1.03,106.486409877514,100.342677691266,94.1984217895418,88.0549266557501,81.9114003809808,75.76840589773,69.6256742147406,63.4797607086587,57.3358531514954,51.1923613890956,45.0487548425402,38.9052306342424,32.7641359070729
1.04,104.02516184333,97.8217888594136,91.6178617352178,85.4147625599786,79.2116015429597,73.0089631133416,66.8066669440905,60.6009539110346,54.3973885860811,48.1942693645541,41.9910287728343,35.7878752737343,29.5871894548997
1.05,101.563915494835,95.3009018344798,89.0373032760005,82.7745969212691,76.5118022136361,70.2495243765926,63.9876527131761,57.7221492208587,51.4589274182504,45.1961798451974,38.933306095619,32.670524273831,26.4102478726767
1.06,99.1026708382245,92.7800166852147,86.4567464593469,80.1344299861024,73.812002594228,67.490089752838,61.1686324098173,54.8433466145984,48.5204695486204,42.1980929272988,35.8755869415422,29.5531776609834,23.2333111548887
1.07,96.6414278837971,90.2591334780498,83.8761913312682,77.4942620035067,71.1122028907507,64.7306593074037,58.3496069252171,51.9645460773546,45.582014887375,39.2000087162054,32.8178714451036,26.4358354676692,20.0563792827276
1.08,94.1801866465194,87.738252277472,81.2956379364219,74.8540932240685,68.4124033131923,61.9712331055889,55.5305771502858,49.0857476035354,42.6435633552029,36.2019273261813,29.7601597439839,23.3184977311773,16.8794522245059
1.09,91.7189471465993,85.2173731464519,78.715086318233,72.2139238989769,65.7126040746936,59.2118112126683,52.7115439721042,46.2069511974883,39.7051148841612,33.2038488801829,26.7024519783225,20.2011644923907,13.7025299363155
1.1,89.257709410067,82.6964961469246,76.134536519042,69.5737542791072,63.0128053907351,56.4523936938965,49.8925082705414,43.328156874087,36.7666694184587,30.2057735095703,23.6447482899503,17.0838357945837,10.5256123629364
1.11,86.7964734693556,80.175621340319,73.5539885802808,66.9335846141449,60.3130074783348,53.6929806145129,47.0734709150422,40.4493646592696,33.8282269151564,27.2077013537532,20.5870488215839,13.9665116822561,7.34869943899744
1.12,84.3352393638779,77.6547487881309,70.9734425426742,64.2934151517565,57.6132105552596,50.9335720397496,44.2544327615979,37.5705745905246,30.8897873447812,24.209632559776,17.5293537159886,10.84919220002,4.1717910903889
1.13,81.8740071405924,75.1338785525355,68.3928984464674,61.6532461368073,54.913414839255,48.1741680348424,41.4353946499121,34.6917867173248,27.9513506918507,21.2115672818427,14.4716631151181,7.73187739155666,0.994887235922343
1.14,79.4127768545542,72.6130106970335,65.8123563316771,59.0130778106315,52.2136205472943,45.414768665045,38.6163574007732,31.8130011015027,25.0129169553064,18.2135056807843,11.4139771592383,4.61456729866057,-2.18201221076905
1.15,76.951548569443,70.0921452871263,63.231816238366,56.3729104103564,49.5138278948535,42.6553739956485,35.7973218136443,28.9342178175692,22.0744861488544,15.2154479234742,8.35629598604461,1.49726196038587,-5.35890733909962
1.16,74.4903223580631,67.5712823910129,60.6512782069391,53.7327441682812,46.8140370952107,39.8959840920058,32.978288664479,26.0554369529704,19.1360583012107,12.2173941821912,5.29861972978097,-1.62003858769232,-8.535798239185
1.17,72.0290983028079,65.0504220803044,58.0707422784583,51.0925793113161,44.114248358777,37.1365990195619,30.1592587037702,23.1766586082829,16.1976334562527,9.21934463393836,2.24094852036838,-4.73733431408792,-11.7126849992961
1.18,69.5678764960838,62.5295644307475,55.4902084949765,48.4524160604787,41.4144618924589,34.3772188438922,27.3402326548389,20.2978828973453,13.2592116730743,6.2212994597186,-0.816717517445827,-7.85462519187534,-14.8895677031344
1.19,67.1066570406852,60.0087095229509,52.9096768998859,45.8122546304529,38.714677899056,31.6178436307468,24.521211212368,17.4191099473253,10.3207930259474,3.22325884377425,-3.87437826491172,-10.971911199013,-18.0664464269521
1.2,64.6454400501158,57.4878574431096,50.329147538281,43.1720952292088,36.0148965766962,28.8584734461058,21.7021950411841,14.5403398987201,7.38237760418798,0.225222972793756,-6.93203361006216,-14.0891923185119,-21.243321236543
1.21,62.1842256488487,54.9670082837168,47.7486204573321,40.5319380576845,33.31511811831,26.0991083562417,18.8831847752898,11.6615729052915,4.44396551192992,-2.77280796490815,-9.9896834484522,-17.2064685384437,-24.4201921841338
1.22,59.7230139725199,52.4461621442592,45.1680957066676,37.8917833095312,30.6153427111471,23.3397484277936,16.0641810171472,8.78280913393415,1.50555686780832,-5.77083378023183,-13.0473276838441,-20.3237398517855,-27.597059305208
1.23,57.2618051680495,49.9253191318874,42.5875733387621,35.2516311709202,27.9155705363364,20.580393727852,13.2451843372122,5.90404876447584,-1.43284819544682,-8.76885428414917,-16.1049662288276,-23.4410062560997,-30.7739226152967
1.24,54.8005993936839,47.4044793620542,40.0070534093282,32.6114818204113,25.2158017684909,17.8210443240547,10.426195273717,3.02529198941297,-4.37124953150234,-11.7668692885702,-19.1625990053699,-26.5582677530499,-33.9507821067716
1.25,52.3393968189561,44.8836429591146,37.4265359777083,29.971335428883,22.5160365753595,15.0617002846968,7.60721433269785,0.146539013578482,-7.30964698099662,-14.7648786072126,-22.2202259452847,-29.6755243477549,-37.1276377456809
1.26,49.8781976245588,42.36281005688,34.8460211072643,27.3311921595226,19.8162751175267,12.3023616788523,4.78824198826318,-2.73220994625524,-10.2480403721931,-17.7628820564686,-25.2778469906159,-32.7927760479873,-40.3044894686655
1.27,47.4170020021239,39.8419807991194,32.2655088657608,24.6910521678734,17.1165175481611,9.54302857651041,1.96927868309583,-5.61095466183757,-13.1864295217102,-20.7608794562626,-28.3354620939264,-35.9100228632226,-43.481337179997
1.28,44.955810153911,37.3211553400041,29.6849993257409,22.0509156019409,14.4167640128139,6.78370104872642,-0.849675170818054,-8.48969489396466,-16.1248142353199,-23.7588706308934,-31.393071218487,-39.0272648035467,-46.65818074878
1.29,42.4946222923955,34.8003338444857,27.1044925648902,19.4107826023524,11.7170146492677,4.02437916778729,-3.66861919124175,-11.3684303930657,-19.0631943088142,-26.7568554098538,-34.4506743383601,-42.1445018784352,-49.8350200063588
1.3,40.0334386397606,32.2795164886044,24.5239886663845,16.7706533025682,9.01726958743512,1.26506300739265,-6.48755302453285,-14.2471608998489,-22.0015695289314,-29.7548336286224,-37.508271438373,-45.2617340954144,-53.0118547439707
1.31,37.572259427288,29.7587034597226,21.9434877192223,14.1305278291451,6.31752894930987,-1.49424735714765,-9.3064763442907,-17.125886146006,-24.9399396743379,-32.7528051294202,-40.5658625139756,-48.3789614586199,-56.1886847106866
1.32,35.1110848946499,27.2378949566768,19.362989818534,11.4904063020443,3.61779284896687,-4.25355184870063,-12.125388849819,-20.0046058549718,-27.87830451666,-35.7507697619265,-43.6234475709807,-51.496183967268,-59.3655096116789
1.33,32.6499152891025,24.7170911898454,16.7824950658684,8.85028883498543,0.918061392613987,-7.0128503880799,-14.9442902644165,-22.8833197427371,-30.8166638215591,-38.7487273839471,-46.6810266251841,-54.6134016140572,-62.5423291068528
1.34,30.1887508645823,22.196292381128,14.2020035694527,6.21017553584005,-1.78166532130701,-9.7721428937992,-17.7631803335096,-25.7620275187114,-33.7550173498447,-41.7466778620302,-49.7385997018614,-57.7306143835186,-65.7191428098794
