"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
1,-12.9295083115599,-0.22705805926284
1.01,-12.9974314225066,-0.22344245918756
1.02,-13.0616870393483,-0.220076391858666
1.03,-13.1221818736062,-0.216954815789296
1.04,-13.1788398400887,-0.214072354049125
1.05,-13.2316029503142,-0.211423310556355
1.06,-13.2804320019494,-0.209001686890173
1.07,-13.3253070472388,-0.206801199559005
1.08,-13.366227628775,-0.204815297659866
1.09,-13.4032127768336,-0.203037180864384
1.1,-13.4363007686239,-0.201459817667487
1.11,-13.4655486559167,-0.200075963836055
1.12,-13.4910315733383,-0.198878180996181
1.13,-13.5128418449136,-0.197858855299379
1.14,-13.5310879109907,-0.197010216110255
1.15,-13.5458931013215,-0.196324354660555
1.16,-13.557394282688,-0.195793242617044
1.17,-13.5657404110121,-0.195408750513654
1.18,-13.5710910183716,-0.195162666001178
1.19,-13.5736146648282,-0.195046711871342
1.2,-13.5734873835604,-0.195052563814973
1.21,-13.5708911456305,-0.19517186787758
1.22,-13.5660123679539,-0.195396257579298
1.23,-13.5590404848591,-0.195717370668911
1.24,-13.5501666001928,-0.196126865486023
1.25,-13.5395822333958,-0.196616436907754
1.26,-13.5274781694928,-0.197177831860419
1.27,-13.5140434196236,-0.197802864379309
1.28,-13.4994642956743,-0.198483430202684
1.29,-13.4839235998312,-0.199211520889074
1.3,-13.4675999274997,-0.199979237449481
1.31,-13.4506670800378,-0.200778803488163
1.32,-13.4332935821427,-0.20160257784863
1.33,-13.4156422974928,-0.20244306676224
1.34,-13.3978701353509,-0.20329293549954
1.35,-13.3801278402504,-0.204145019525129
1.36,-13.362559856576,-0.20499233515836
1.37,-13.3453042597705,-0.20582808974291
1.38,-13.3284927460093,-0.206645691328865
1.39,-13.3122506724507,-0.207438757871422
1.4,-13.2966971405481,-0.208201125950339
1.41,-13.2819451153758,-0.208926859014242
1.42,-13.2681015744424,-0.209610255153448
1.43,-13.2552676800179,-0.210245854404713
1.44,-13.2435389695671,-0.210828445590226
1.45,-13.2330055594449,-0.211353072692825
1.46,-13.2237523575572,-0.211815040767962
1.47,-13.215859281211,-0.212209921392166
1.48,-13.20940147687,-0.212533557646513
1.49,-13.204449538984,-0.212782068632493
1.5,-13.2010697254801,-0.212951853516156
1.51,-13.1993241678749,-0.213039595095667
1.52,-13.1992710743091,-0.21304226288582
1.53,-13.2009649241021,-0.212957115712185
1.54,-13.2044566526865,-0.212781703806278
1.55,-13.2097938260128,-0.212513870392892
1.56,-13.2170208037082,-0.212151752759046
1.57,-13.2261788904428,-0.211693782794231
1.58,-13.2373064750959,-0.211138686991002
1.59,-13.2504391574316,-0.210485485894669
1.6,-13.2656098620882,-0.209733492991176
1.61,-13.2828489397622,-0.208882313022459
1.62,-13.3021842555267,-0.207931839719157
1.63,-13.3236412642669,-0.206882252941716
1.64,-13.34724307325,-0.205734015221618
1.65,-13.3730104918629,-0.204487867696298
1.66,-13.4009620685659,-0.203144825432999
1.67,-13.4311141151081,-0.201706172138587
1.68,-13.4634807180499,-0.200173454255014
1.69,-13.4980737376221,-0.198548474442131
1.7,-13.5349027939412,-0.196833284452719
1.71,-13.5739752405727,-0.195030177407642
1.72,-13.615296125419,-0.193141679481609
1.73,-13.6588681388756,-0.191170541013992
1.74,-13.7046915491779,-0.189119727062333
1.75,-13.7527641248281,-0.186992407419292
1.76,-13.803081043967,-0.18479194611847
1.77,-13.8556347905277,-0.182521890456365
1.78,-13.9104150369827,-0.180185959563387
1.79,-13.9674085134782,-0.177788032558263
1.8,-14.0265988631287,-0.175332136324934
1.81,-14.0879664832417,-0.172822432953583
1.82,-14.1514883522362,-0.170263206890365
1.83,-14.2171378420354,-0.167658851843305
1.84,-14.2848845157333,-0.16501385749385
1.85,-14.3546939103806,-0.162332796066067
1.86,-14.4265273047968,-0.159620308806414
1.87,-14.5003414723999,-0.156881092428931
1.88,-14.5760884191659,-0.154119885580827
1.89,-14.6537151069782,-0.151341455384006
1.9,-14.7331631628178,-0.148550584107925
1.91,-14.8143685744868,-0.145752056027939
1.92,-14.8972613738426,-0.142950644522789
1.93,-14.9817653088759,-0.140151099462269
1.94,-15.0677975063803,-0.137358134934411
1.95,-15.155268127454,-0.134576417358426
1.96,-15.2440800186476,-0.131810554026408
1.97,-15.3341283622292,-0.129065082113135
1.98,-15.4253003297885,-0.126344458189144
1.99,-15.517474744245,-0.123653048267525
2,-15.6105217562611,-0.120995118410563
2.01,-15.7043025420807,-0.118374825916261
2.02,-15.7986690309208,-0.115796211101066
2.03,-15.8934636712037,-0.113263189687463
2.04,-15.9885192461221,-0.110779545801813
2.05,-16.0836587502409,-0.108348925580638
2.06,-16.1786953400112,-0.105974831378691
2.07,-16.2734323721589,-0.103660616567048
2.08,-16.3676635448371,-0.101409480903691
2.09,-16.461173157124,-0.0992244664547631
2.1,-16.5537365028187,-0.0971084540399476
2.11,-16.645120414428,-0.0950641601713659
2.12,-16.7350839726517,-0.0930941344518281
2.13,-16.8233793954455,-0.0912007573953191
2.14,-16.9097531187707,-0.0893862386298827
2.15,-16.9939470783382,-0.0876526154416085
2.16,-17.0757001979495,-0.0860017516169199
2.17,-17.1547500854105,-0.0844353365401209
2.18,-17.230834931443,-0.0829548845032278
2.19,-17.3036956006376,-0.0815617341861885
2.2,-17.3730778964106,-0.0802570482671041
2.21,-17.4387349743641,-0.0790418131245217
2.22,-17.500429870711,-0.0779168385967522
2.23,-17.5579381048502,-0.0768827577669076
2.24,-17.6110503082124,-0.0759400267464828
2.25,-17.659574825565,-0.0750889244351148
2.26,-17.7033402305423,-0.0743295522393623
2.27,-17.7421976946638,-0.0736618337389581
2.28,-17.7760231488742,-0.0730855142949349
2.29,-17.8047191789184,-0.0726001606002831
2.3,-17.8282166007514,-0.0722051601799706
2.31,-17.8464756696032,-0.0718997208537738
2.32,-17.8594868860237,-0.0716828701814973
2.33,-17.8672713738053,-0.0715534549165677
2.34,-17.8698808175712,-0.0715101404998221
