"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
1,-4.00878251394482,-2.19900907141986
1.01,-4.07428525993846,-2.15635694606709
1.02,-4.14402262787624,-2.11209665954977
1.03,-4.21821894493019,-2.06626018096562
1.04,-4.29711764717329,-2.01888287273322
1.05,-4.38098300805209,-1.97000374815447
1.06,-4.470102072165,-1.91966574476114
1.07,-4.56478682368174,-1.86791601348606
1.08,-4.66537662401819,-1.81480622350884
1.09,-4.77224095981101,-1.76039288239225
1.1,-4.88578255011578,-1.70473767084279
1.11,-5.006440871464,-1.64790779108983
1.12,-5.13469617145871,-1.58997632747745
1.13,-5.27107405662021,-1.53102261739314
1.14,-5.41615075907813,-1.47113263011362
1.15,-5.57055921059454,-1.41039935052266
1.16,-5.73499608283921,-1.34892316394617
1.17,-5.91022999190805,-1.28681223755179
1.18,-6.097111115628,-1.22418289287447
1.19,-6.29658253814957,-1.16115996305789
1.2,-6.50969372315195,-1.09787712735239
1.21,-6.73761663236451,-1.03447721429448
1.22,-6.98166516099454,-0.971112463831143
1.23,-7.24331877185144,-0.907944737470883
1.24,-7.52425149861381,-0.845145664378056
1.25,-7.82636789018407,-0.782896710225035
1.26,-8.15184803438713,-0.721389154634849
1.27,-8.50320461035643,-0.660823962254482
1.28,-8.88335610031916,-0.601411531976015
1.29,-9.29572204446766,-0.543371308660148
1.3,-9.74434887798175,-0.486931242011542
1.31,-10.2340790052787,-0.432327078110777
1.32,-10.7707823137085,-0.379801470623461
1.33,-11.3616800518061,-0.329602900975453
1.34,-12.0158091533078,-0.281984399878725
1.35,-12.7447070289204,-0.237202066562554
1.36,-13.5634555942697,-0.195513386917478
1.37,-14.4923371620816,-0.157175357454175
1.38,-15.559589792446,-0.122442428414687
1.39,-16.8062732265281,-0.0915642863809904
1.4,-18.2955408655543,-0.0647835040667872
1.41,-20.1321841988824,-0.0423330923438523
1.42,-22.5101016561578,-0.0244339965768752
1.43,-25.8555454613491,-0.0112925856080353
1.44,-31.4682924460095,-0.00309818681447461
1.45,-53.2089122878148,-2.07241386533461E-05
1.46,-32.9378863854172,-0.00220851749161481
1.47,-26.4765353951688,-0.00978630116424639
1.48,-22.7997287318619,-0.0228535156820969
1.49,-20.2198724615111,-0.0414829218803354
1.5,-18.2337138063429,-0.0657195779949235
1.51,-16.6218672190642,-0.0955802105640587
1.52,-15.2687376953225,-0.131052998361862
1.53,-14.1058583846136,-0.172097776015276
1.54,-13.0892829533468,-0.218646651034878
1.55,-12.1890882398088,-0.270605015399337
1.56,-11.3839512478851,-0.32785292122225
1.57,-10.6581153698117,-0.390246779974166
1.58,-9.9995848777582,-0.457621336686213
1.59,-9.39899586213899,-0.529791864830834
1.6,-8.84888098906669,-0.606556524301281
1.61,-8.34317427884519,-0.687698824075854
1.62,-7.87686789708378,-0.772990132588577
1.63,-7.44576841318751,-0.862192182250888
1.64,-7.04631999301978,-0.955059519608517
1.65,-6.67547373902503,-1.05134185885594
1.66,-6.33058952633539,-1.15078630343669
1.67,-6.00936115014904,-1.25313940781842
1.68,-5.7097584716278,-1.35814905887821
1.69,-5.42998214066957,-1.46556616335413
1.7,-5.16842774606211,-1.57514613427476
1.71,-4.92365711591457,-1.68665017499628
1.72,-4.69437509996172,-1.79984636435551
1.73,-4.47941059671926,-1.91451055044353
1.74,-4.27770089850267,-2.03042706362572
1.75,-4.08827865296161,-2.1473892617254
1.76,-3.91026090585841,-2.26519992182552
1.77,-3.74283981328884,-2.38367149401567
1.78,-3.58527470416746,-2.50262623272172
1.79,-3.43688524384069,-2.62189622110455
1.8,-3.29704550304103,-2.74132330350026
1.81,-3.16517877729581,-2.86075894008817
1.82,-3.04075303344899,-2.98006399699534
1.83,-2.92327688441744,-3.09910848394601
1.84,-2.812296012376,-3.21777125040027
1.85,-2.70738997550995,-3.33593964994365
1.86,-2.60816934524275,-3.45350918152627
1.87,-2.5142731301624,-3.5703831150319
1.88,-2.42536645028168,-3.68647210760542
1.89,-2.34113843119683,-3.80169381619215
1.9,-2.2613002924792,-3.91597251085337
1.91,-2.18558360849581,-4.02923869262078
1.92,-2.11373872299891,-4.14142871893949
1.93,-2.04553330140381,-4.25248443912048
1.94,-1.98075100680266,-4.36235284167557
1.95,-1.91919028753292,-4.47098571493561
1.96,-1.8606632656019,-4.57833932194821
1.97,-1.80499471652087,-4.6843740903099
