"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='11.992mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='23.984mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='35.976mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='47.968mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='59.958mm'","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
1,-18.26522918698,-12.9647748472642,-10.5840016755823,-9.62866186900065,-9.70827315729824,-0.0652408107756101
1.01,-18.1837834836779,-12.8977625796692,-10.5379527337573,-9.61366191086656,-9.7387398882795,-0.0664854084520777
1.02,-18.1032354949307,-12.831713932387,-10.4931101405822,-9.60017578960532,-9.77175560786119,-0.0677398099658767
1.03,-18.0235684121692,-12.7666143506161,-10.4494577136991,-9.58820108409284,-9.80735416700497,-0.0690039472330171
1.04,-17.9447659022198,-12.7024497480569,-10.4069798236718,-9.57773610852625,-9.84557165897705,-0.0702777519273031
1.05,-17.8668120891752,-12.6392064840008,-10.3656613767948,-9.56877989726244,-9.88644648839252,-0.0715611554909778
1.06,-17.7896915371727,-12.5768713414649,-10.3254877987974,-9.56133219151003,-9.93001944824257,-0.0728540891446808
1.07,-17.7133892340296,-12.5154315063334,-10.2864450193934,-9.55539342784227,-9.97633380538164,-0.0741564838965605
1.08,-17.6378905756898,-12.4548745474689,-10.2485194576341,-9.55096472850092,-10.0254353950087,-0.0754682705505398
1.09,-17.5631813514387,-12.3951883977588,-10.2116980080202,-9.54804789346387,-10.0773727247393,-0.076789379713593
1.1,-17.4892477298438,-12.3363613360654,-10.1759680273348,-9.54664539425164,-10.132197088935,-0.07811974180199
1.11,-17.4160762453839,-12.2783819700484,-10.1413173221613,-9.54676036945023,-10.1899626940366,-0.0794592870464229
1.12,-17.34365378573,-12.2212392198308,-10.1077341370508,-9.54839662193035,-10.2507267957325,-0.0808079454959246
1.13,-17.2719675796441,-12.1649223024802,-10.0752071433082,-9.55155861774585,-10.3145498488965,-0.0821656470205067
1.14,-17.2010051854631,-12.1094207172801,-10.0437254283654,-9.55625148669549,-10.3814956713363,-0.0835323213124474
1.15,-17.1307544801376,-12.0547242317642,-10.0132784857159,-9.56248102453634,-10.4516316225228,-0.0849078978861719
1.16,-17.0612036487976,-12.0008228684907,-9.98385620538167,-9.57025369683855,-10.5250287986109,-0.0862923060766139
1.17,-16.9923411748166,-11.9477068925327,-9.95544886489001,-9.57957664447409,-10.6017622452218,-0.0876854750360307
1.18,-16.9241558303485,-11.8953667996612,-9.92804712073545,-9.59045769073561,-10.6819111896435,-0.0890873337292138
1.19,-16.8566366673143,-11.8437933051991,-9.90164200030605,-9.60290535008438,-10.7655592943082,-0.0904978109269963
1.2,-16.7897730088134,-11.7929773335252,-9.87622489425316,-9.61692883852891,-10.8527949336479,-0.0919168351980668
1.21,-16.7235544409382,-11.7429100082048,-9.85178754928554,-9.63253808564023,-10.9437114966946,-0.0933443348989558
1.22,-16.6579708049725,-11.6935826427297,-9.82832206136996,-9.64974374821359,-11.038407718106,-0.0947802381622684
1.23,-16.5930121899501,-11.6449867318432,-9.80582086932125,-9.66855722558946,-11.1369880406492,-0.0962244728830108
1.24,-16.5286689255593,-11.5971139434333,-9.78427674876581,-9.68899067665237,-11.2395630125861,-0.0976769667030721
1.25,-16.4649315753708,-11.5499561109725,-9.76368280646394,-9.71105703853013,-11.3462497238749,-0.0991376469937701
1.26,-16.4017909303742,-11.5035052264843,-9.74403247497663,-9.73477004702113,-11.4571722856472,-0.100606440836513
1.27,-16.3392380028064,-11.4577534340183,-9.72531950766376,-9.76014425878397,-11.5724623580528,-0.102083275001496
1.28,-16.2772640202547,-11.4126930236133,-9.70753797400141,-9.78719507532807,-11.6922597322963,-0.103568075924508
1.29,-16.215860420021,-11.3683164257297,-9.69068225520646,-9.81593876885281,-11.8167129735504,-0.105060769681797
1.3,-16.1550188437315,-11.3246162061315,-9.67474704015769,-9.84639250998772,-11.9459801324257,-0.10656128196304
1.31,-16.094731132179,-11.2815850611998,-9.65972732160305,-9.87857439749572,-12.0802295338563,-0.108069538042443
1.32,-16.0349893203831,-11.2392158136581,-9.6456183926436,-9.91250349000889,-12.2196406536371,-0.109585462747989
1.33,-15.9757856328577,-11.1975014086903,-9.63241584348496,-9.94819983987708,-12.364405094482,-0.111108980428906
1.34,-15.9171124790707,-11.1564349104335,-9.62011555844794,-9.98568452921742,-12.5147276754015,-0.112640014921377
1.35,-15.8589624490871,-11.1160094988261,-9.6087137132305,-10.0249797082666,-12.6708276504979,-0.114178489512577
1.36,-15.8013283093817,-11.0762184667926,-9.59820677241355,-10.0661086361472,-12.8329400760131,-0.115724326903111
1.37,-15.7442029988128,-11.0370552177475,-9.5885914872039,-10.1090957241752,-13.0013173477548,-0.11727744916789
1.38,-15.6875796247444,-10.9985132633983,-9.57986489340784,-10.1539665818477,-13.1762309349767,-0.118837777715635
1.39,-15.6314514593083,-10.9605862218312,-9.57202430962953,-10.2007480656677,-13.3579733415727,-0.120405233246988
1.4,-15.5758119357964,-10.9232678158596,-9.56506733568879,-10.2494683309781,-13.5468603312466,-0.121979735711449
1.41,-15.5206546451731,-10.8865518716193,-9.55899185125302,-10.3001568869976,-13.7432334604082,-0.123561204263198
1.42,-15.4659733327002,-10.8504323173908,-9.55379601467896,-10.3528446552714,-13.9474629712362,-0.125149557215924
1.43,-15.4117618946645,-10.8149031826326,-9.54947826205983,-10.4075640317711,-14.1599511080695,-0.126744711996895
1.44,-15.3580143752007,-10.7799585972086,-9.54603730647421,-10.4643489529049,-14.3811359335852,-0.128346585100292
