"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) []","mag(S(FloquetPort2:1,FloquetPort1:1)) []"
1,2.05747336456833E-05,0.999999999787237
1.01,2.00792106768985E-05,1.00000070187242
1.02,1.97792651952001E-05,1.00000133444775
1.03,1.96759485842395E-05,1.00000190066649
1.04,1.97636925363742E-05,1.00000240368276
1.05,2.00306740887193E-05,1.00000284664353
1.06,2.04600128964382E-05,1.00000323268081
1.07,2.10314596658446E-05,1.00000356490418
1.08,2.17231550215691E-05,1.0000038463935
1.09,2.25131282432359E-05,1.00000408019204
1.1,2.33803745814083E-05,1.00000426929982
1.11,2.43055019082088E-05,1.00000441666731
1.12,2.52710261654145E-05,1.00000452518949
1.13,2.62614229320461E-05,1.0000045977002
1.14,2.72630329907152E-05,1.00000463696691
1.15,2.82638957152208E-05,1.00000464568582
1.16,2.92535592929641E-05,1.00000462647732
1.17,3.02228970489402E-05,1.00000458188186
1.18,3.11639455084594E-05,1.00000451435616
1.19,3.20697713533091E-05,1.00000442626984
1.2,3.29343696375741E-05,1.00000431990242
1.21,3.37525932504796E-05,1.00000419744067
1.22,3.45201127012854E-05,1.00000406097641
1.23,3.52334052288902E-05,1.00000391250464
1.24,3.58897726143236E-05,1.00000375392203
1.25,3.64873876582565E-05,1.00000358702587
1.26,3.70253699273974E-05,1.00000341351325
1.27,3.75038919625329E-05,1.00000323498074
1.28,3.79243175706881E-05,1.0000030529243
1.29,3.82893739613566E-05,1.0000028687396
1.3,3.86033591446435E-05,1.00000268372263
1.31,3.88723849195834E-05,1.00000249907067
1.32,3.91046535748483E-05,1.00000231588352
1.33,3.93107626299526E-05,1.00000213516505
1.34,3.950402602954E-05,1.00000195782501
1.35,3.9700791697849E-05,1.0000017846811
1.36,3.99207241290393E-05,1.00000161646132
1.37,4.01870073858859E-05,1.00000145380653
1.38,4.05264105816877E-05,1.00000129727318
1.39,4.09691487455443E-05,1.00000114733636
1.4,4.15484731913879E-05,1.00000100439285
1.41,4.2299944379563E-05,1.00000086876455
1.42,4.3260381851225E-05,1.00000074070183
1.43,4.44665482088689E-05,1.00000062038721
1.44,4.59536943078994E-05,1.00000050793899
1.45,4.77541475421379E-05,1.00000040341508
1.46,4.98961394500836E-05,1.00000030681681
1.47,5.2403030095981E-05,1.00000021809293
1.48,5.5293004147406E-05,1.00000013714346
1.49,5.85792160743859E-05,1.00000006382375
1.5,6.22702827859634E-05,0.999999997948379
1.51,6.63709825393745E-05,0.999999939295175
1.52,7.08830209432161E-05,0.999999887609104
1.53,7.58057553103592E-05,0.999999842606166
1.54,8.11368098487837E-05,0.999999803977213
1.55,8.68725522793855E-05,0.999999771391685
1.56,9.30084303857598E-05,0.999999744501267
1.57,9.95391835548092E-05,0.99999972294343
1.58,0.000106458951669797,0.999999706344868
1.59,0.000113761304881405,0.999999694324788
1.6,0.000121439215594719,0.999999686498084
1.61,0.000129484990454442,0.999999682478339
1.62,0.000137890176376234,0.999999681880683
1.63,0.000146645451353497,0.999999684324478
1.64,0.00015574050808365,0.999999689435833
1.65,0.00016516393641713,0.999999696849933
1.66,0.000174903109152156,0.999999706213186
1.67,0.000184944074664078,0.999999717185179
1.68,0.000195271459156925,0.999999729440446
1.69,0.000205868380858986,0.999999742670028
1.7,0.000216716378174926,0.999999756582852
1.71,0.000227795353593409,0.999999770906897
1.72,0.000239083534985882,0.999999785390182
1.73,0.000250557455785559,0.999999799801539
1.74,0.000262191955382875,0.999999813931213
1.75,0.000273960200898546,0.999999827591258
1.76,0.000285833731289037,0.999999840615757
1.77,0.000297782524497659,0.99999985286087
1.78,0.000309775088088036,0.999999864204687
1.79,0.00032177857349012,0.999999874546943
1.8,0.000333758913660079,0.999999883808551
1.81,0.000345680983614835,0.999999891931006
1.82,0.000357508782963503,0.999999898875627
1.83,0.000369205639235657,0.999999904622687
1.84,0.000380734430516335,0.999999909170409
1.85,0.000392057825655732,0.999999912533857
1.86,0.000403138540142575,0.999999914743727
1.87,0.000413939605627556,0.999999915845052
1.88,0.000424424651068057,0.999999915895822
1.89,0.000434558193545355,0.999999914965552
1.9,0.000444305936984639,0.999999913133787
1.91,0.000453635077286624,0.999999910488575
1.92,0.000462514612752872,0.999999907124906
1.93,0.000470915659146648,0.99999990314314
1.94,0.00047881176926401,0.999999898647428
1.95,0.000486179257479184,0.999999893744146
1.96,0.00049299753035199,0.999999888540348
1.97,0.000499249425018202,0.999999883142246
1.98,0.000504921557694427,0.999999877653743
1.99,0.000510004685181292,0.999999872175011
2,0.000514494082697009,0.999999866801138
2.01,0.000518389941662759,0.999999861620853
2.02,0.000521697791122709,0.999999856715325
2.03,0.000524428946227192,0.999999852157061
2.04,0.00052660098652716,0.999999848008904
2.05,0.000528238265582193,0.99999984432314
2.06,0.000529372451401157,0.999999841140709
2.07,0.000530043094308154,0.999999838490548
2.08,0.000530298214721103,0.999999836389059
2.09,0.000530194897796363,0.99999983483969
2.1,0.000529799874698834,0.999999833832666
2.11,0.000529190061248194,0.999999833344846
2.12,0.000528453013883325,0.999999833339712
2.13,0.00052768725059798,0.999999833767506
2.14,0.000527002371529546,0.999999834565486
2.15,0.00052651890170226,0.999999835658334
2.16,0.000526367769351189,0.999999836958677
2.17,0.000526689330490277,0.999999838367752
2.18,0.000527631857834459,0.999999839776189
2.19,0.000529349433832107,0.999999841064908
2.2,0.000531999226398082,0.999999842106137
2.21,0.000535738182417999,0.99999984276453
2.22,0.000540719244543339,0.999999842898391
2.23,0.000547087272379112,0.999999842360976
2.24,0.000554974916310404,0.999999841001886
2.25,0.000564498735079307,0.999999838668526
2.26,0.000575755853043918,0.999999835207628
2.27,0.000588821413082638,0.999999830466815
2.28,0.000603747000100584,0.999999824296213
2.29,0.000620560102393644,0.999999816550081
2.3,0.000639264564863662,0.999999807088454
2.31,0.000659841890858381,0.999999795778792
2.32,0.000682253184094456,0.99999978249761
2.33,0.000706441495198831,0.999999767132082
2.34,0.000732334345946358,0.999999749581607
2.35,0.000759846238785108,0.999999729759324
2.36,0.000788881007686253,0.999999707593556
2.37,0.00081933391766526,0.999999683029175
2.38,0.000851093466484711,0.999999656028879
2.39,0.000884042878668226,0.999999626574354
2.4,0.000918061307734257,0.999999594667334
2.41,0.000953024778309287,0.999999560330513
2.42,0.000988806907411131,0.999999523608329
2.43,0.00102527944593026,0.999999484567594
2.44,0.00106231267923955,0.999999443297961
2.45,0.00109977572159398,0.999999399912223
2.46,0.00113753673375561,0.999999354546433
2.47,0.00117546308790242,0.999999307359834
2.48,0.00121342149883698,0.999999258534605
2.49,0.00125127813605358,0.999999208275409
2.5,0.00128889872744535,0.999999156808729
2.51,0.00132614866233688,0.999999104382019
2.52,0.00136289309905988,0.999999051262632
2.53,0.00139899708037336,0.999998997736554
2.54,0.0014343256585818,0.999998944106932
2.55,0.00146874403114555,0.999998890692394
2.56,0.00150211768683346,0.999998837825181
2.57,0.0015343125619779,0.999998785849074
2.58,0.00156519520610327,0.999998735117156
2.59,0.00159463295606742,0.999998685989372
2.6,0.00162249411784695,0.999998638829935
2.61,0.00164864815518225,0.999998594004582
2.62,0.00167296588445491,0.999998551877666
2.63,0.00169531967537999,0.999998512809142
2.64,0.00171558365734559,0.999998477151416
2.65,0.00173363393151224,0.999998445246114
2.66,0.00174934878908818,0.999998417420758
2.67,0.00176260893652117,0.999998393985392
2.68,0.00177329772869386,0.999998375229156
2.69,0.00178130141158284,0.999998361416852
2.7,0.00178650937625171,0.999998352785503
2.71,0.00178881442651209,0.999998349540947
2.72,0.00178811306312785,0.999998351854474
2.73,0.00178430578809247,0.999998359859541
2.74,0.00177729743332761,0.999998373648589
2.75,0.00176699751920334,0.99999839326998
2.76,0.00175332064966791,0.999998418725094
2.77,0.00173618695264072,0.999998449965595
2.78,0.00171552257687157,0.999998486890907
