"Freq [GHz]","re(Gamma(1:1)) []","re(Gamma(1:2)) []","re(Gamma(1:3)) []","re(Gamma(1:4)) []","re(Gamma(1:6)) []"
1.75,20.2331974745735,75.3222375963306,75.3223123767634,86.1878456677078,112.671657340689
1.76,19.8485357680457,75.2198216470126,75.219896529263,86.0983555762297,112.603216916693
1.77,19.4540127711115,75.1166812989736,75.1167562840423,86.0082616595294,112.534344538683
1.78,19.0490157838831,75.0128135641346,75.0128886530326,85.9175620180771,112.465039413087
1.79,18.6328618425503,74.9082154167122,74.9082906104605,85.826254731516,112.395300739382
1.8,18.2047858329998,74.8028837926613,74.8029590922914,85.7343378584153,112.325127710045
1.81,17.7639258802799,74.6968155891071,74.6968909956614,85.6418094360201,112.254519510497
1.82,17.3093052086923,74.5900076637659,74.5900831782973,85.5486674799974,112.183475319051
1.83,16.8398093697084,74.482456834352,74.4825324579243,85.4549099841759,112.111994306857
1.84,16.3541573026998,74.374159877974,74.3742356116625,85.3605349202836,112.040075637845
1.85,15.8508640530307,74.2651135305175,74.2651893754085,85.2655402376785,111.967718468674
1.86,15.3281920018883,74.1553144860148,74.1553904432064,85.1699238630766,111.894921948671
1.87,14.7840859554701,74.0447593960013,74.0448354666034,85.0736837002739,111.821685219778
1.88,14.2160850343398,73.9334448688587,73.9335210539929,84.9768176298636,111.748007416491
1.89,13.6212003340861,73.8213674691434,73.8214437699436,84.8793235089489,111.673887665801
1.9,12.9957405349569,73.7085237169008,73.7086001345132,84.7811991708505,111.599325087137
1.91,12.3350555019185,73.5949100869646,73.5949866225482,84.6824424248079,111.524318792306
1.92,11.6331451074838,73.480523008242,73.4805996629683,84.5830510556772,111.448867885431
1.93,10.8820349485295,73.3653588629813,73.365435638035,84.4830228236214,111.372971462889
1.94,10.0707225571529,73.2494139860255,73.2494908826048,84.3823554637972,111.29662861325
1.95,9.18326574254286,73.1326846640485,73.1327616833646,84.2810466860352,111.219838417212
1.96,8.1949640173734,73.0151671347744,73.0152442780525,84.1790941745132,111.142599947538
1.97,7.06361447608849,72.89685758618,72.8969348546593,84.0764955874253,111.064912268994
1.98,5.70473595887214,72.777752155679,72.777829550613,83.9732485566443,110.986774438277
1.99,3.88658255115838,72.6578469292888,72.6579244519455,83.8693506873786,110.908185503954
2,0,72.5371379407775,72.5372155924393,83.7647995578207,110.829144506393
2.01,0,72.4156211707919,72.4156989527568,83.659592718792,110.749650477693
2.02,0,72.2932925459673,72.293370459548,83.553727693379,110.669702441618
2.03,0,72.1701479380142,72.1702259845394,83.4472019765634,110.589299413525
2.04,0,72.0461831627864,72.0462613436006,83.3400130348458,110.508440400294
2.05,0,71.921393979327,71.9214722957908,83.2321583058621,110.427124400254
2.06,0,71.7957760888915,71.7958545423821,83.1236351979914,110.345350403113
2.07,0,71.6693251339497,71.6694037258608,83.0144410899592,110.263117389884
2.08,0,71.5420366971632,71.5421154289057,82.9045733304306,110.180424332808
2.09,0,71.4139063003387,71.4139851733412,82.794029237597,110.097270195283
2.1,0,71.2849294033581,71.2850084190665,82.6828060987547,110.013653931779
2.11,0,71.1551014030817,71.1551805629602,82.5709011698753,109.929574487771
2.12,0,71.0244176322254,71.0244969377568,82.4583116751688,109.845030799651
2.13,0,70.8928733582128,70.8929528108982,82.3450348066361,109.760021794655
2.14,0,70.760463781997,70.760543383357,82.2310677236154,109.674546390778
2.15,0,70.6271840368559,70.6272637884306,82.1164075523181,109.588603496693
2.16,0,70.493029187157,70.4931090905063,82.0010513853565,109.502192011671
2.17,0,70.3579942270935,70.3580742837974,81.8849962812616,109.415310825493
2.18,0,70.2220740793871,70.2221542910469,81.7682392639921,109.327958818366
2.19,0,70.0852635939615,70.0853439621986,81.6507773224333,109.24013486084
2.2,0,69.9475575465794,69.9476380730378,81.5326074098858,109.151837813715
2.21,0,69.8089506374499,69.8090313237947,81.4137264435453,109.063066527956
2.22,0,69.6694374897965,69.6695183377157,81.2941313039703,108.973819844604
2.23,0,69.5290126483921,69.5290936595964,81.1738188345403,108.884096594681
2.24,0,69.3876705780557,69.3877517542787,81.052785840903,108.793895599102
2.25,0,69.2454056621099,69.2454870051096,80.9310290904093,108.703215668579
2.26,0,69.1022122008003,69.1022937123585,80.8085453115383,108.612055603528
2.27,0,68.9580844096728,68.9581660915965,80.6853311933097,108.520414193971
2.28,0,68.8130164179101,68.8130982720312,80.5613833846843,108.42829021944
2.29,0,68.6670022666235,68.6670842947996,80.4366984939523,108.335682448877
2.3,0,68.5200359070998,68.5201181112153,80.3112730881087,108.242589640537
2.31,0,68.3721111990036,68.3721935809694,80.185103692216,108.149010541883
2.32,0,68.2232219085295,68.2233044702841,80.0581867887536,108.054943889486
2.33,0,68.0733617065065,68.0734444500167,79.9305188169536,107.960388408918
2.34,0,67.9225241664513,67.9226070937122,79.8020961721224,107.865342814649
2.35,0,67.770702762568,67.7707858756041,79.6729152049481,107.769805809939
2.36,0,67.6178908676942,67.6179741685599,79.5429722207933,107.673776086728
2.37,0,67.4640817511905,67.464165241971,79.412263478973,107.57725232553
2.38,0,67.3092685767728,67.309352259584,79.2807851920164,107.480233195317
2.39,0,67.1534444002824,67.1535282772727,79.1485335249133,107.382717353405
2.4,0,66.9966021673965,66.9966862407465,79.0155045943447,107.284703445346
2.41,0,66.8387347112723,66.8388189831962,78.881694467895,107.186190104805
2.42,0,66.6798347501265,66.6799192228726,78.7470991632498,107.087175953443
2.43,0,66.5198948847439,66.5199795605954,78.6117146473724,106.987659600801
2.44,0,66.3589075959171,66.3589924771926,78.4755368356661,106.887639644175
2.45,0,66.1968652418106,66.1969503308655,78.3385615911152,106.787114668493
2.46,0,66.0337600552495,66.0338453544765,78.2007847234078,106.686083246194
2.47,0,65.8695841409296,65.8696696527593,78.0622019880397,106.584543937095
2.48,0,65.7043294725439,65.7044151994465,77.9228090853964,106.482495288268
2.49,0,65.5379878898269,65.538073834312,77.782601659816,106.379935833909
2.5,0,65.3705510955081,65.3706372601269,77.6415752986309,106.276864095202
2.51,0,65.2020106521777,65.2020970395226,77.4997255311863,106.173278580188
2.52,0,65.0323579790538,65.0324445917609,77.3570478278374,106.06917778363
2.53,0,64.8615843486559,64.8616711894047,77.2135375989233,105.964560186872
2.54,0,64.6896808833734,64.6897679548886,77.0691901937162,105.859424257702
2.55,0,64.5166385519306,64.516725856983,76.9240008993484,105.753768450207
2.56,0,64.3424481657412,64.3425357071488,76.7779649397117,105.64759120463
2.57,0,64.1671003751501,64.1671881557798,76.6310774743323,105.540890947225
2.58,0,63.9905856655571,63.9906736883246,76.4833335972192,105.433666090109
2.59,0,63.8128943534163,63.8129826212889,76.3347283356847,105.325915031106
2.6,0,63.6340165821115,63.6341050981081,76.1852566491375,105.217636153603
2.61,0,63.4539423176958,63.4540310848893,76.0349134278456,105.108827826387
2.62,0,63.2726613444967,63.2727503660147,75.8836934916711,104.999488403491
2.63,0,63.0901632605763,63.0902525396025,75.7315915887728,104.889616224037
2.64,0,62.9064374730429,62.9065270128186,75.5786023942779,104.779209612066
2.65,0,62.7214731932086,62.721562997035,75.4247205089214,104.668266876384
2.66,0,62.5352594315864,62.5353495028248,75.269940457651,104.556786310384
2.67,0,62.3477849927175,62.347875334792,75.1142566881989,104.444766191886
2.68,0,62.159038469826,62.1591290862248,74.9576635696166,104.332204782957
2.69,0,61.9690082392915,61.9690991335683,74.8001553907737,104.219100329742
