"Freq [GHz]","im(Zo(backport:1)) []","im(Zo(backport:2)) []","im(Zo(backport:3)) []","im(Zo(backport:4)) []","im(Zo(backport:6)) []"
1.75,421.25261244221,451.782052647796,113.102877639577,61.8070331725011,33.619579970267
1.76,431.870406695274,454.982329053643,113.904061226029,62.224829183806,33.8322471962068
1.77,443.132405501619,458.19575121385,114.708535824058,62.6439344855142,34.0453038668355
1.78,455.110763927695,461.42248483773,115.516342918602,63.0643634281342,34.2587533951441
1.79,467.889543356088,464.662698073856,116.327524605263,63.4861305312567,34.472599219753
1.8,481.567369359272,467.916561560413,117.142123602909,63.9092504864574,34.6868448052344
1.81,496.260853565033,471.184248476806,117.960183266596,64.3337381602377,34.9014936424387
1.82,512.109053572048,474.465934596542,118.781747600807,64.7596085969482,35.1165492488255
1.83,529.279365102017,477.76179834144,119.606861273023,65.1868770213293,35.332015168799
1.84,547.97542410396,481.072020837192,120.435569627633,65.615558834292,35.5478949740475
1.85,568.44788337045,484.39678597034,121.267918700194,66.0456696952049,35.7641922638889
1.86,591.009387980067,487.736280446684,122.103955232062,66.4772252905258,35.9809106656196
1.87,616.055832041392,491.090693851186,122.943726685381,66.9102416629683,36.1980538348689
1.88,644.097270202505,494.460218709405,123.787281258452,67.3447349841344,36.4156254559582
1.89,675.804137715192,497.845050550515,124.634667901559,67.7807216341207,36.633629242265
1.9,712.078634358303,501.245387971948,125.485936333079,68.2182181983543,36.8520689365923
1.91,754.169259644,504.661432705723,126.34113705614,68.6572414707115,37.0709483115424
1.92,803.863171120708,508.093389686506,127.200321375642,69.0978084571346,37.2902711698966
1.93,863.827756924681,511.541467121452,128.063541415745,69.5399363794012,37.5100413449983
1.94,938.260919245344,515.005876561906,128.930850137815,69.9836426789843,37.730262701141
1.95,1034.24543147911,518.486832976922,129.802301358844,70.4289450209549,37.9509391339563
1.96,1164.93225828545,521.984554828998,130.677949770372,70.8758612975067,38.172074570796
1.97,1358.43928449589,525.499264151418,131.5578509579,71.3244096472583,38.3936729711181
1.98,1690.63562327672,529.03118662807,132.442061420798,71.7746083989486,38.6157383273303
1.99,2494.42184698567,532.580551675225,133.330638592991,72.2264761801926,38.8382746658528
2,0,536.147592525542,134.223640863587,72.6800318306219,39.0612860437032
2.01,0,539.732546314565,135.121127598914,73.1352944454524,39.284776552836
2.02,0,543.335654169213,136.023159164513,73.5922833740523,39.5087503180049
2.03,0,546.957161299135,136.929796948015,74.0510182241119,39.7332115113973
2.04,0,550.597317090342,137.841103382589,74.5115188273283,39.9581643154136
2.05,0,554.256375201544,138.757141971065,74.9738054534741,40.1836129690888
2.06,0,557.934593663166,139.677977310723,75.4378983794456,40.4095617401532
2.07,0,561.632234979195,140.603675118778,75.9038183466366,40.6360149291657
2.08,0,565.349566231855,141.534302258601,76.3715863306361,40.8629768934194
2.09,0,569.086859189335,142.469926766679,76.8412235967546,41.0904519952373
2.1,0,572.844390416569,143.410617880349,77.3127517044096,41.3184446589025
