"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []","im(Gamma(1:4)) []","im(Gamma(1:6)) []"
1.75,0,0,0,0,0
1.76,0,0,0,0,0
1.77,0,0,0,0,0
1.78,0,0,0,0,0
1.79,0,0,0,0,0
1.8,0,0,0,0,0
1.81,0,0,0,0,0
1.82,0,0,0,0,0
1.83,0,0,0,0,0
1.84,0,0,0,0,0
1.85,0,0,0,0,0
1.86,0,0,0,0,0
1.87,0,0,0,0,0
1.88,0,0,0,0,0
1.89,0,0,0,0,0
1.9,0,0,0,0,0
1.91,0,0,0,0,0
1.92,0,0,0,0,0
1.93,0,0,0,0,0
1.94,0,0,0,0,0
1.95,0,0,0,0,0
1.96,0,0,0,0,0
1.97,0,0,0,0,0
1.98,0,0,0,0,0
1.99,0,0,0,0,0
2,1.55589711537162,0,0,0,0
2.01,4.47604813662068,0,0,0,0
2.02,6.14304886324228,0,0,0,0
2.03,7.45164029446847,0,0,0,0
2.04,8.56765359636027,0,0,0,0
2.05,9.55878049457291,0,0,0,0
2.06,10.4605799201934,0,0,0,0
2.07,11.2944690586676,0,0,0,0
2.08,12.0745261478356,0,0,0,0
2.09,12.810588721813,0,0,0,0
2.1,13.5098496080175,0,0,0,0
2.11,14.1777551393081,0,0,0,0
2.12,14.8185456936984,0,0,0,0
2.13,15.4355985789147,0,0,0,0
2.14,16.0316549934712,0,0,0,0
2.15,16.6089756305769,0,0,0,0
2.16,17.1694505588159,0,0,0,0
2.17,17.7146787950919,0,0,0,0
2.18,18.2460271966818,0,0,0,0
2.19,18.7646748822871,0,0,0,0
2.2,19.2716473022145,0,0,0,0
2.21,19.7678427596714,0,0,0,0
2.22,20.254053330836,0,0,0,0
2.23,20.7309815641402,0,0,0,0
2.24,21.1992539544253,0,0,0,0
2.25,21.6594319215172,0,0,0,0
2.26,22.1120208354771,0,0,0,0
2.27,22.557477496862,0,0,0,0
2.28,22.9962163831667,0,0,0,0
2.29,23.4286149011955,0,0,0,0
2.3,23.8550178319519,0,0,0,0
2.31,24.2757411146206,0,0,0,0
2.32,24.6910750857987,0,0,0,0
2.33,25.1012872667545,0,0,0,0
2.34,25.5066247733964,0,0,0,0
2.35,25.9073164094752,0,0,0,0
2.36,26.3035744924071,0,0,0,0
2.37,26.6955964522555,0,0,0,0
2.38,27.0835662373489,0,0,0,0
2.39,27.4676555543275,0,0,0,0
2.4,27.8480249658141,0,0,0,0
2.41,28.2248248651636,0,0,0,0
2.42,28.5981963446792,0,0,0,0
2.43,28.9682719711691,0,0,0,0
2.44,29.335176480627,0,0,0,0
2.45,29.699027402098,0,0,0,0
2.46,30.0599356193375,0,0,0,0
2.47,30.4180058776705,0,0,0,0
2.48,30.773337242431,0,0,0,0
2.49,31.1260235145114,0,0,0,0
2.5,31.4761536078115,0,0,0,0
2.51,31.8238118927684,0,0,0,0
2.52,32.1690785096058,0,0,0,0
2.53,32.5120296545015,0,0,0,0
2.54,32.8527378414693,0,0,0,0
2.55,33.1912721424255,0,0,0,0
2.56,33.5276984076138,0,0,0,0
2.57,33.8620794683138,0,0,0,0
2.58,34.1944753235373,0,0,0,0
2.59,34.5249433122304,0,0,0,0
2.6,34.853538272327,0,0,0,0
2.61,35.180312687859,0,0,0,0
2.62,35.5053168251971,0,0,0,0
2.63,35.8285988593865,0,0,0,0
2.64,36.1502049914403,0,0,0,0
2.65,36.4701795573673,0,0,0,0
2.66,36.7885651296321,0,0,0,0
2.67,37.10540261168,0,0,0,0
2.68,37.4207313260936,0,0,0,0
2.69,37.7345890968964,0,0,0,0
2.7,38.0470123264715,0,0,0,0
2.71,38.3580360675158,0,0,0,0
2.72,38.6676940904179,0,0,0,0
2.73,38.9760189464055,0,0,0,0
2.74,39.2830420267841,0,0,0,0
2.75,39.5887936185576,0,0,0,0
2.76,39.8933029566935,0,0,0,0
2.77,40.1965982732796,0,0,0,0
2.78,40.4987068437925,0,0,0,0
2.79,40.7996550306813,0,0,0,0
2.8,41.0994683244546,0,0,0,0
2.81,41.3981713824443,0,0,0,0
2.82,41.6957880653998,0,0,0,0
2.83,41.9923414720632,0,0,0,0
2.84,42.287853971857,0,0,0,0
2.85,42.5823472358085,0,0,0,0
2.86,42.8758422658256,0,0,0,0
2.87,43.1683594224296,0,0,0,0
2.88,43.4599184510428,0,0,0,0
2.89,43.7505385069217,0,0,0,0
2.9,44.040238178819,0,0,0,0
2.91,44.3290355114534,0,0,0,0
2.92,44.6169480268588,0,0,0,0
2.93,44.9039927446797,0,0,0,0
2.94,45.1901862014774,0,0,0,0
2.95,45.4755444691019,0,0,0,0
2.96,45.760083172187,0,0,0,0
2.97,46.0438175048158,0,0,0,0
2.98,46.326762246408,0,0,0,0
2.99,46.6089317768684,0,0,0,0
3,46.8903400910406,0,0,0,0
3.01,47.171000812504,0,0,0,0
3.02,47.4509272067487,0,0,0,0
3.03,47.7301321937642,0,0,0,0
3.04,48.0086283600706,0,0,0,0
3.05,48.2864279702243,0,0,0,0
3.06,48.563542977825,0,0,0,0
3.07,48.8399850360498,0,0,0,0
3.08,49.1157655077391,0,0,0,0
3.09,49.3908954750567,0,0,0,0
3.1,49.6653857487472,0,0,0,0
3.11,49.9392468770092,0,0,0,0
3.12,50.2124891540044,0,0,0,0
3.13,50.4851226280203,0,0,0,0
3.14,50.7571571093044,0,0,0,0
3.15,51.0286021775837,0,0,0,0
