"Freq [GHz]","re(Zo(backport:1)) []","re(Zo(backport:2)) []","re(Zo(backport:3)) []","re(Zo(backport:4)) []","re(Zo(backport:6)) []"
1.75,0,0,0,0,0
1.76,0,0,0,0,0
1.77,0,0,0,0,0
1.78,0,0,0,0,0
1.79,0,0,0,0,0
1.8,0,0,0,0,0
1.81,0,0,0,0,0
1.82,0,0,0,0,0
1.83,0,0,0,0,0
1.84,0,0,0,0,0
1.85,0,0,0,0,0
1.86,0,0,0,0,0
1.87,0,0,0,0,0
1.88,0,0,0,0,0
1.89,0,0,0,0,0
1.9,0,0,0,0,0
1.91,0,0,0,0,0
1.92,0,0,0,0,0
1.93,0,0,0,0,0
1.94,0,0,0,0,0
1.95,0,0,0,0,0
1.96,0,0,0,0,0
1.97,0,0,0,0,0
1.98,0,0,0,0,0
1.99,0,0,0,0,0
2,6249.798750253,0,0,0,0
2.01,2186.63086044708,0,0,0,0
2.02,1601.34166914925,0,0,0,0
2.03,1326.7104563275,0,0,0,0
2.04,1159.60002804648,0,0,0,0
2.05,1044.47049843258,0,0,0,0
2.06,959.090386095779,0,0,0,0
2.07,892.596050866304,0,0,0,0
2.08,838.968106536376,0,0,0,0
2.09,794.567502020293,0,0,0,0
2.1,757.048137266171,0,0,0,0
2.11,724.820741617707,0,0,0,0
2.12,696.765549364807,0,0,0,0
2.13,672.067921966804,0,0,0,0
2.14,650.119226142328,0,0,0,0
2.15,630.454412212617,0,0,0,0
2.16,612.7112468003,0,0,0,0
2.17,596.602849276446,0,0,0,0
2.18,581.898688972542,0,0,0,0
2.19,568.41112648867,0,0,0,0
2.2,555.985684100982,0,0,0,0
2.21,544.493882952721,0,0,0,0
2.22,533.827883566913,0,0,0,0
2.23,523.896416746193,0,0,0,0
2.24,514.621653191302,0,0,0,0
2.25,505.936766288874,0,0,0,0
2.26,497.784013752484,0,0,0,0
2.27,490.113212488456,0,0,0,0
2.28,482.88051488839,0,0,0,0
2.29,476.047418614956,0,0,0,0
2.3,469.579959017216,0,0,0,0
2.31,463.448045678664,0,0,0,0
2.32,457.624913668138,0,0,0,0
2.33,452.086666783281,0,0,0,0
2.34,446.811895111309,0,0,0,0
2.35,441.781353034719,0,0,0,0
2.36,436.977686714385,0,0,0,0
2.37,432.385202314931,0,0,0,0
2.38,427.989667969124,0,0,0,0
2.39,423.778143830702,0,0,0,0
2.4,419.738835629139,0,0,0,0
2.41,415.860967982449,0,0,0,0
2.42,412.134674395546,0,0,0,0
2.43,408.550901409829,0,0,0,0
2.44,405.101324803478,0,0,0,0
2.45,401.778276093494,0,0,0,0
2.46,398.574677876855,0,0,0,0
2.47,395.483986782535,0,0,0,0
2.48,392.500142998825,0,0,0,0
2.49,389.61752549956,0,0,0,0
2.5,386.830912224862,0,0,0,0
2.51,384.135444581898,0,0,0,0
2.52,381.526595723085,0,0,0,0
2.53,379.000142136216,0,0,0,0
2.54,376.55213814594,0,0,0,0
2.55,374.178892980863,0,0,0,0
2.56,371.876950107004,0,0,0,0
2.57,369.643068567937,0,0,0,0
2.58,367.474206105591,0,0,0,0
2.59,365.367503864594,0,0,0,0
2.6,363.32027250775,0,0,0,0
2.61,361.329979591533,0,0,0,0
2.62,359.394238068839,0,0,0,0
2.63,357.510795802116,0,0,0,0
2.64,355.677525983717,0,0,0,0
2.65,353.892418372309,0,0,0,0
2.66,352.153571264549,0,0,0,0
2.67,350.459184130327,0,0,0,0
2.68,348.807550847817,0,0,0,0
2.69,347.197053481544,0,0,0,0
2.7,345.626156552767,0,0,0,0
2.71,344.093401756876,0,0,0,0
2.72,342.597403087236,0,0,0,0
2.73,341.136842329077,0,0,0,0
2.74,339.710464890768,0,0,0,0
2.75,338.317075943063,0,0,0,0
2.76,336.955536839844,0,0,0,0
2.77,335.624761796455,0,0,0,0
2.78,334.323714804056,0,0,0,0
2.79,333.051406760451,0,0,0,0
2.8,331.80689279972,0,0,0,0
2.81,330.589269804597,0,0,0,0
2.82,329.397674087029,0,0,0,0
2.83,328.231279223671,0,0,0,0
2.84,327.089294034254,0,0,0,0
2.85,325.970960691842,0,0,0,0
2.86,324.875552954936,0,0,0,0
2.87,323.802374512291,0,0,0,0
2.88,322.750757432045,0,0,0,0
2.89,321.720060707513,0,0,0,0
2.9,320.709668892611,0,0,0,0
2.91,319.718990820478,0,0,0,0
2.92,318.747458399372,0,0,0,0
2.93,317.794525480409,0,0,0,0
2.94,316.859666792148,0,0,0,0
2.95,315.942376937413,0,0,0,0
2.96,315.04216944812,0,0,0,0
2.97,314.158575894188,0,0,0,0
2.98,313.291145042924,0,0,0,0
2.99,312.439442065554,0,0,0,0
3,311.603047787808,0,0,0,0
3.01,310.781557981705,0,0,0,0
3.02,309.974582695896,0,0,0,0
3.03,309.18174562212,0,0,0,0
3.04,308.402683495494,0,0,0,0
3.05,307.637045526521,0,0,0,0
3.06,306.884492862884,0,0,0,0
3.07,306.144698079168,0,0,0,0
3.08,305.417344692848,0,0,0,0
3.09,304.702126704944,0,0,0,0
3.1,303.998748163893,0,0,0,0
3.11,303.306922751244,0,0,0,0
3.12,302.626373387935,0,0,0,0
3.13,301.956831859922,0,0,0,0
3.14,301.298038462075,0,0,0,0
3.15,300.64974165929,0,0,0,0
3.16,300.011697763844,0,0,0,0
3.17,299.383670628093,0,0,0,0
3.18,298.765431351644,0,0,0,0
3.19,298.156758002225,0,0,0,0
3.2,297.55743534949,0,0,0,0
