"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []"
2,-6.12903972574149,-6.05765288047114
2.00571428571429,-6.14370500817418,-6.04676584997551
2.01142857142857,-6.15837732367095,-6.03622093732305
2.01714285714286,-6.17299605310683,-6.02604527360573
2.02285714285714,-6.18750097498513,-6.01626605323676
2.02857142857143,-6.20183245134352,-6.00691031526756
2.03428571428571,-6.21593163109686,-5.99800472581478
2.04,-6.22974066945326,-5.98957536301021
2.04571428571429,-6.24320296162175,-5.98164750590728
2.05142857142857,-6.25626338862654,-5.97424542877553
2.05714285714286,-6.2688685726465,-5.9673922022059
2.06285714285714,-6.28096713893396,-5.96110950242194
2.06857142857143,-6.29250998104529,-5.95541743015717
2.07428571428571,-6.30345052583827,-5.9503343403957
2.08,-6.31374499448698,-5.94587668421199
2.08571428571429,-6.32335265562496,-5.94205886385034
2.09142857142857,-6.33223606667447,-5.93889310208905
2.09714285714286,-6.3403612994544,-5.93638932681569
2.10285714285714,-6.3476981462827,-5.93455507161147
2.10857142857143,-6.35422030300943,-5.93339539300206
2.11428571428571,-6.35990552572153,-5.93291280488218
2.12,-6.36473575825755,-5.93310723046453
2.12571428571429,-6.36869722813195,-5.9339759719379
2.13142857142857,-6.37178050900593,-5.93551369785747
2.13714285714286,-6.3739805484191,-5.93771244812241
2.14285714285714,-6.37529666011333,-5.94056165623378
2.14857142857143,-6.37573248090816,-5.94404818836939
2.15428571428571,-6.37529589271805,-5.94815639866154
2.16,-6.37399891090763,-5.9528681999259
2.16571428571429,-6.37185754075532,-5.95816314896116
2.17142857142857,-6.36889160431183,-5.96401854542803
2.17714285714286,-6.36512454039681,-5.97040954321993
2.18285714285714,-6.36058318085206,-5.97730927315316
2.18857142857143,-6.35529750646801,-5.98468897574795
2.19428571428571,-6.34930038620158,-5.99251814282096
2.2,-6.34262730342771,-6.00076466658589
2.20571428571429,-6.33531607299421,-6.00939499494853
2.21142857142857,-6.32740655279688,-6.01837429168766
2.21714285714286,-6.31894035346944,-6.02766660023878
2.22285714285714,-6.30996054958236,-6.03723500982992
2.22857142857143,-6.30051139550147,-6.04704182277436
2.23428571428571,-6.29063804875233,-6.05704872177994
2.24,-6.28038630341316,-6.06721693620929
2.24571428571429,-6.269802335701,-6.07750740630191
2.25142857142857,-6.25893246355326,-6.08788094445446
2.25714285714286,-6.24782292163428,-6.09829839274067
2.26285714285714,-6.23651965284315,-6.10872077594838
2.26857142857143,-6.22506811704652,-6.11910944949825
2.27428571428571,-6.21351311743624,-6.12942624170291
2.28,-6.20189864461614,-6.13963358991277
2.28571428571429,-6.19026773824815,-6.14969467018358
2.29142857142857,-6.1786623658503,-6.15957352017919
2.29714285714286,-6.16712331813727,-6.169235155105
2.30285714285714,-6.15569012011805,-6.17864567653522
2.30857142857143,-6.14440095702981,-6.18777237406662
2.31428571428571,-6.13329261407333,-6.19658381978726
2.32,-6.12240042884091,-6.20504995560545
2.32571428571429,-6.11175825526783,-6.21314217352598
2.33142857142857,-6.10139843791743,-6.22083338900393
2.33714285714286,-6.09135179538985,-6.22809810753686
2.34285714285714,-6.08164761166532,-6.23491248468228
2.34857142857143,-6.07231363421213,-6.24125437971141
2.35428571428571,-6.06337607774548,-6.24710340312826
2.36,-6.05485963259937,-6.25244095830998
2.36571428571429,-6.04678747652951,-6.25725027742417
2.37142857142857,-6.03918128879693,-6.26151645176797
2.37714285714286,-6.03206126639207,-6.26522645713612
2.38285714285714,-6.02544614109671,-6.26836917420215
2.38857142857143,-6.01935319637007,-6.27093540399308
2.39428571428571,-6.013798283691,-6.27291787881078
2.4,-6.00879583773066,-6.27431126876999
2.40571428571429,-6.00435888978975,-6.27511218409847
2.41142857142857,-6.00049907902841,-6.2753191733336
2.41714285714286,-5.99722666109567,-6.27493271753478
2.42285714285714,-5.99455051383291,-6.2739552206045
2.42857142857143,-5.9924781397943,-6.27239099578967
2.43428571428571,-5.99101566539442,-6.27024624841054
2.44,-5.99016783655919,-6.26752905484287
2.44571428571429,-5.98993801082472,-6.26424933775389
2.45142857142857,-5.99032814589155,-6.26041883757467
2.45714285714286,-5.99133878470965,-6.25605108016721
2.46285714285714,-5.99296903723933,-6.25116134063114
2.46857142857143,-5.99521655909324,-6.24576660317301
2.47428571428571,-5.9980775273444,-6.23988551695212
2.48,-6.0015466138423,-6.23353834780106
2.48571428571429,-6.00561695646295,-6.22674692571444
2.49142857142857,-6.010280128778,-6.21953458799056
2.49714285714286,-6.01552610871284,-6.21192611791333
2.50285714285714,-6.02134324682665,-6.20394767885919
2.50857142857143,-6.02771823492576,-6.1956267437245
2.51428571428571,-6.03463607579468,-6.18699201957816
2.52,-6.04208005489327,-6.17807336745797
2.52571428571429,-6.05003171494302,-6.16890171725279
2.53142857142857,-6.05847083438074,-6.15950897763295
2.53714285714286,-6.06737541072151,-6.1499279410253
2.54285714285714,-6.07672164991364,-6.14019218365069
2.54857142857143,-6.08648396281368,-6.13033596071215
2.55428571428571,-6.09663496992963,-6.12039409687719
2.56,-6.10714551559679,-6.11040187210556
2.56571428571429,-6.11798469274282,-6.10039490311139
2.57142857142857,-6.1291198793741,-6.09040902074288
2.57714285714286,-6.1405167878686,-6.08048014356552
2.58285714285714,-6.15213952809238,-6.07064414803969
2.58857142857143,-6.16395068525724,-6.06093673573795
2.59428571428571,-6.17591141331736,-6.05139329810804
2.6,-6.18798154454597,-6.04204877934587
2.60571428571429,-6.20011971575903,-6.03293753800363
2.61142857142857,-6.21228351143652,-6.02409320801188
2.61714285714286,-6.22442962376298,-6.01554855984621
2.62285714285714,-6.23651402934105,-6.00733536261765
2.62857142857143,-6.24849218205331,-5.99948424790272
2.63428571428571,-6.26031922124534,-5.99202457616574
2.64,-6.27195019409093,-5.98498430664568
2.64571428571429,-6.28334029067583,-5.97838987159693
2.65142857142857,-6.29444509003234,-5.97226605577976
2.65714285714286,-6.30522081502996,-5.96663588208244
2.66285714285714,-6.3156245937577,-5.96152050414961
2.66857142857143,-6.32561472475223,-5.95693910685005
2.67428571428571,-6.33515094321264,-5.9529088153857
2.68,-6.34419468515238,-5.94944461378459
2.68571428571429,-6.35270934631212,-5.94655927345911
2.69142857142857,-6.36066053258457,-5.94426329243551
2.69714285714286,-6.36801629869665,-5.94256484577804
2.70285714285714,-6.37474737195825,-5.94146974763824
2.70857142857143,-6.38082735801543,-5.94098142526103
2.71428571428571,-6.38623292575018,-5.94110090517596
2.72,-6.39094396873557,-5.94182681169169
2.72571428571429,-6.39494374098622,-5.94315537770448
2.73142857142857,-6.39821896512587,-5.94508046771886
2.73714285714286,-6.40075991152503,-5.94759361287041
2.74285714285714,-6.40256044742468,-5.95068405763662
2.74857142857143,-6.40361805554561,-5.95433881781797
2.75428571428571,-6.40393382218027,-5.95854274928078
2.76,-6.40351239525453,-5.96327862686597
2.76571428571429,-6.40236191331865,-5.96852723278942
2.77142857142857,-6.40049390687675,-5.97426745379668
2.77714285714286,-6.3979231738638,-5.98047638627351
2.78285714285714,-6.39466763144207,-5.98712944847633
2.78857142857143,-6.39074814658178,-5.99420049900502
2.79428571428571,-6.38618834813412,-6.00166196062933
2.8,-6.38101442327225,-6.00948494856163
2.80571428571429,-6.37525490128595,-6.0176394022773
2.81142857142857,-6.36894042774943,-6.02609421999137
2.81714285714286,-6.36210353206934,-6.03481739492527
2.82285714285714,-6.35477839132883,-6.04377615252612
2.82857142857143,-6.34700059322393,-6.05293708784107
2.83428571428571,-6.33880690070306,-6.06226630229335
2.84,-6.33023502071111,-6.07172953915774
2.84571428571429,-6.32132337920357,-6.08129231709012
2.85142857142857,-6.31211090432219,-6.09092006112161
2.85714285714286,-6.30263681936123,-6.10057823059076
2.86285714285714,-6.29294044686509,-6.11023244354761
2.86857142857143,-6.28306102492386,-6.11984859722672
2.87428571428571,-6.27303753645967,-6.1293929842445
2.88,-6.26290855204062,-6.13883240423945
2.88571428571429,-6.25271208651544,-6.14813427072569
2.89142857142857,-6.24248546953952,-6.15726671298905
2.89714285714286,-6.2322652298648,-6.16619867290074
2.90285714285714,-6.22208699308545,-6.17489999657152
2.90857142857143,-6.211985392384,-6.18334152081322
2.91428571428571,-6.20199399168741,-6.19149515440684
2.92,-6.19214522054103,-6.19933395421326
2.92571428571429,-6.1824703199274,-6.20683219618963
2.93142857142857,-6.172999298187,-6.21396544139611
2.93714285714286,-6.16376089616463,-6.22071059709765
2.94285714285714,-6.15478256067396,-6.22704597307981
2.94857142857143,-6.14609042536416,-6.23295133330696
2.95428571428571,-6.13770929807758,-6.23840794305636
2.96,-6.12966265380311,-6.24339861166554
2.96571428571429,-6.12197263235368,-6.24790773102743
2.97142857142857,-6.11466003993246,-6.2519213099627
2.97714285714286,-6.10774435379178,-6.25542700459304
2.98285714285714,-6.10124372923546,-6.25841414482664
2.98857142857143,-6.09517500826365,-6.26087375705654
2.99428571428571,-6.08955372921498,-6.26279858315637
3,-6.08439413681387,-6.26418309584319
3.00571428571429,-6.07970919208881,-6.26502351045969
3.01142857142857,-6.07551058168524,-6.26531779320865
3.01714285714286,-6.07180872615314,-6.2650656658545
3.02285714285714,-6.06861278685124,-6.26426860688713
3.02857142857143,-6.06593067116359,-6.26292984912382
3.03428571428571,-6.06376903578637,-6.26105437370549
3.04,-6.06213328789912,-6.25864890042591
3.04571428571429,-6.06102758409163,-6.25572187431395
3.05142857142857,-6.06045482697725,-6.25228344837343
3.05714285714286,-6.06041665948107,-6.2483454623692
3.06285714285714,-6.06091345684711,-6.24392141753604
3.06857142857143,-6.06194431647012,-6.23902644707641
3.07428571428571,-6.06350704571267,-6.23367728230254
3.08,-6.06559814792934,-6.22789221427584
3.08571428571429,-6.0682128069762,-6.2216910507912
3.09142857142857,-6.0713448705449,-6.21509506855771
3.09714285714286,-6.0749868327161,-6.20812696042737
3.10285714285714,-6.07912981618733,-6.20081077753663
3.10857142857143,-6.08376355468627,-6.19317186623428
3.11428571428571,-6.08887637613619,-6.18523679968855
3.12,-6.09445518719085,-6.1770333040851
3.12571428571429,-6.10048545980976,-6.16859017935544
3.13142857142857,-6.10695122058764,-6.15993721440516
3.13714285714286,-6.11383504359105,-6.1511050968448
3.14285714285714,-6.12111804749293,-6.14212531726958
3.14857142857143,-6.12877989781759,-6.13303006817267
3.15428571428571,-6.13679881512609,-6.12385213763132
3.16,-6.14515158997888,-6.11462479795033
3.16571428571429,-6.15381360550421,-6.10538168950808
3.17142857142857,-6.16275886837875,-6.09615670010655
3.17714285714286,-6.17196004899522,-6.0869838401847
3.18285714285714,-6.18138853153112,-6.07789711432035
3.18857142857143,-6.19101447457115,-6.06893038950557
3.19428571428571,-6.20080688283992,-6.06011726074336
3.2,-6.21073369049584,-6.05149091457354
3.20571428571429,-6.22076185631165,-6.0430839911951
3.21142857142857,-6.23085747091618,-6.034928445906
3.21714285714286,-6.2409858761177,-6.02705541063346
3.22285714285714,-6.2511117961406,-6.0194950563701
3.22857142857143,-6.26119948041968,-6.01227645736922
3.23428571428571,-6.27121285739355,-6.00542745798524
3.24,-6.28111569852482,-5.99897454306045
3.24571428571429,-6.29087179156191,-5.99294271277568
3.25142857142857,-6.30044512184815,-5.98735536287936
3.25714285714286,-6.30980006027185,-5.98223417119986
3.26285714285714,-6.31890155626485,-5.97759899132384
3.26857142857143,-6.32771533407304,-5.97346775428932
3.27428571428571,-6.33620809037715,-5.96985637909745
3.28,-6.34434769120896,-5.96677869278753
3.28571428571429,-6.3521033660236,-5.96424636075632
3.29142857142857,-6.35944589672865,-5.96226882792329
3.29714285714286,-6.36634779945917,-5.96085327125434
3.30285714285714,-6.37278349691567,-5.96000456406713
3.30857142857143,-6.37872947915335,-5.95972525243669
3.31428571428571,-6.38416445083164,-5.96001554391465
3.32,-6.38906946308514,-5.9608733086681
3.32571428571429,-6.39342802838484,-5.96229409303343
3.33142857142857,-6.39722621697734,-5.96427114536416
3.33714285714286,-6.40045273377656,-5.96679545395527
3.34285714285714,-6.40309897484498,-5.96985579670827
3.34857142857143,-6.40515906292688,-5.97343880211064
3.35428571428571,-6.40662986180191,-5.97752902100674
3.36,-6.40751096954502,-5.98210900855344
3.36571428571429,-6.40780469108961,-5.98715941567461
3.37142857142857,-6.40751599078957,-5.99265908926886
3.37714285714286,-6.40665242595089,-5.99858518036272
3.38285714285714,-6.40522406255457,-6.00491325936246
3.38857142857143,-6.40324337460966,-6.01161743752299
3.39428571428571,-6.40072512876313,-6.01867049373029
3.4,-6.3976862559265,-6.02604400568437
3.40571428571429,-6.39414571180076,-6.03370848457183
3.41142857142857,-6.3901243282244,-6.04163351232177
3.41714285714286,-6.38564465731223,-6.04978788056775
3.42285714285714,-6.38073081032751,-6.0581397304565
3.42857142857143,-6.37540829318183,-6.06665669248655
3.43428571428571,-6.36970384038943,-6.0753060256014
3.44,-6.36364524917627,-6.08405475480427
3.44571428571429,-6.35726121533258,-6.09286980661783
3.45142857142857,-6.35058117223828,-6.10171814176645
3.45714285714286,-6.34363513433591,-6.11056688451188
3.46285714285714,-6.33645354615015,-6.11938344813275
3.46857142857143,-6.32906713778712,-6.12813565609888
3.47428571428571,-6.32150678766322,-6.13679185854456
3.48,-6.31380339304827,-6.14532104370049
3.48571428571429,-6.30598774884277,-6.15369294400363
3.49142857142857,-6.29809043485122,-6.16187813664971
3.49714285714286,-6.29014171166708,-6.16984813839978
3.50285714285714,-6.2821714251614,-6.17757549450659
