"Freq [GHz]","im(Z(1,1)) []","im(Z(1,2)) []"
2,-116.070127403833,-116.31264014396
2.00571428571429,-115.488262009906,-115.773851865898
2.01142857142857,-114.87291186617,-115.194264131206
2.01714285714286,-114.226332529029,-114.5760913117
2.02285714285714,-113.550898485099,-113.921694476382
2.02857142857143,-112.849085574871,-113.233563076386
2.03428571428571,-112.12345258843,-112.514295720596
2.04,-111.376622350846,-111.766580369519
2.04571428571429,-110.611262610487,-110.993174270322
2.05142857142857,-109.830067031205,-110.196883943552
2.05714285714286,-109.035736570422,-109.380545512804
2.06285714285714,-108.230961500506,-108.547005643677
2.06857142857143,-107.418404301488,-107.699103328563
2.07428571428571,-106.600683620576,-106.839652720919
2.08,-105.780359459299,-105.971427187375
2.08571428571429,-104.959919713459,-105.097144710025
2.09142857142857,-104.141768155827,-104.219454735246
2.09714285714286,-103.328213917347,-103.340926530753
2.10285714285714,-102.521462490632,-102.464039079809
2.10857142857143,-101.723608250098,-101.591172511519
2.11428571428571,-100.936628457085,-100.724601039336
2.12,-100.162378695622,-99.866487356574
2.12571428571429,-99.4025896656941,-99.01887841817
2.13142857142857,-98.6588652456327,-98.1837025220276
2.13714285714286,-97.9326817238349,-97.3627675911414
2.14285714285714,-97.2253880918701,-96.5577605489383
2.14857142857143,-96.5382072861313,-95.7702476746768
2.15428571428571,-95.8722382632074,-95.0016758232341
2.16,-95.2284587945051,-94.2533743933438
2.16571428571429,-94.6077288682458,-93.5265579305104
2.17142857142857,-94.0107945912883,-92.8223292546263
2.17714285714286,-93.4382924888485,-92.1416830075748
2.18285714285714,-92.8907541069838,-91.4855095225587
2.18857142857143,-92.3686108301139,-90.8545989239946
2.19428571428571,-91.8721988338126,-90.2496453745565
2.2,-91.4017641012049,-89.6712513939143
2.20571428571429,-90.9574674394952,-89.1199321817944
2.21142857142857,-90.5393894410992,-88.5961198859096
2.21714285714286,-90.147535341585,-88.1001677630977
2.22285714285714,-89.7818397339925,-87.6323541894708
2.22857142857143,-89.4421711058386,-87.1928864823128
2.23428571428571,-89.1283361716213,-86.7819045031963
2.24,-88.8400839793033,-86.3994840178189
2.24571428571429,-88.5771097746444,-86.045639793802
2.25142857142857,-88.3390586118734,-85.7203284228165
2.25714285714286,-88.1255287035444,-85.4234508582477
2.26285714285714,-87.9360745060052,-85.1548546638295
2.26857142857143,-87.7702095403137,-84.9143359727228
2.27428571428571,-87.6274089512402,-84.7016411600176
2.28,-87.5071118095003,-84.5164682349747
2.28571428571429,-87.4087231646153,-84.358467962328
2.29142857142857,-87.3316158576279,-84.2272447246986
2.29714285714286,-87.2751321046655,-84.1223571408253
2.30285714285714,-87.2385848637986,-84.0433184566676
2.30857142857143,-87.2212589990662,-83.9895967288121
2.31428571428571,-87.2224122567326,-83.9606148216886
2.32,-87.2412760701231,-83.9557502423197
2.32571428571429,-87.2770562105147,-83.9743348382858
2.33142857142857,-87.3289333026671,-84.0156543865661
2.33714285714286,-87.3960632248829,-84.0789481028608
2.34285714285714,-87.4775774145158,-84.163408102798
2.34857142857143,-87.5725831012498,-84.2681788482709
2.35428571428571,-87.6801634915899,-84.3923566138081
2.36,-87.7993779285598,-84.5349890089123
2.36571428571429,-87.9292620520194,-84.6950745929462
2.37142857142857,-88.0688279928083,-84.8715626256792
2.37714285714286,-88.2170646245881,-85.0633529926307
2.38285714285714,-88.372937898378,-85.2692963397795
2.38857142857143,-88.5353912981061,-85.4881944637811
2.39428571428571,-88.7033464471948,-85.7188009984224
2.4,-88.8757038973702,-85.9598224366087
2.40571428571429,-89.0513441322553,-86.209919526887
2.41142857142857,-89.2291288181889,-86.4677090819523
2.41714285714286,-89.4079023339523,-86.7317662340647
2.42285714285714,-89.5864936097927,-87.0006271691338
2.42857142857143,-89.7637183042641,-87.272792367281
2.43428571428571,-89.9383813446851,-87.5467303728544
2.44,-90.1092798536727,-87.8208821112968
2.44571428571429,-90.2752064797345,-88.0936657636444
2.45142857142857,-90.4349531448326,-88.3634822021186
2.45714285714286,-90.587315215621,-88.6287209820278
2.46285714285714,-90.7310960980684,-88.8877668762047
2.46857142857143,-90.8651122473346,-89.1390069285683
2.47428571428571,-90.988198576085,-89.3808379931592
2.48,-91.0992142352777,-89.6116747144589
2.48571428571429,-91.1970487315634,-89.829957893942
2.49142857142857,-91.2806283355701,-90.0341631771087
2.49714285714286,-91.348922725129,-90.2228099847044
2.50285714285714,-91.400951797728,-90.3944706019313
2.50857142857143,-91.4357925771207,-90.5477793303736
2.51428571428571,-91.4525861304353,-90.6814415993956
2.52,-91.4505444048161,-90.7942429273179
2.52571428571429,-91.4289568866371,-90.8850576179315
2.53142857142857,-91.3871969821509,-90.9528570751509
2.53714285714286,-91.3247280162649,-90.9967176181586
2.54285714285714,-91.2411087459859,-91.0158276811382
2.54857142857143,-91.1359982873988,-91.0094942857041
2.55428571428571,-91.009160361593,-90.9771486828098
2.56,-90.8604667696791,-90.9183510690985
2.56571428571429,-90.6899000172887,-90.832794292839
2.57142857142857,-90.497555023337,-90.7203064821323
2.57714285714286,-90.2836398597235,-90.5808525422965
2.58285714285714,-90.0484754847793,-90.4145344868596
2.58857142857143,-89.7924944504441,-90.2215905855497
2.59428571428571,-89.5162385809039,-90.0023933320025
2.6,-89.2203556386907,-89.7574462534775
2.60571428571429,-88.9055950120815,-89.487379603926
2.61142857142857,-88.5728024751652,-89.1929450001394
2.61714285714286,-88.2229140878941,-88.8750090774943
2.62285714285714,-87.8569493182433,-88.5345462570426
2.62857142857143,-87.47600348096,-88.1726307284994
2.63428571428571,-87.0812395978004,-87.7904277642017
2.64,-86.6738797917971,-87.3891844868274
2.64571428571429,-86.2551963332294,-86.9702202185952
2.65142857142857,-85.826502457201,-86.5349165417353
2.65714285714286,-85.389143072506,-86.0847071993532
2.66285714285714,-84.9444854784514,-85.6210679624373
2.66857142857143,-84.4939102011549,-85.1455065830292
2.67428571428571,-84.0388020534919,-84.6595529457253
2.68,-83.5805415137467,-84.1647495199321
2.68571428571429,-83.1204965076395,-83.662642204295
2.69142857142857,-82.6600146667491,-83.1547716424352
2.69714285714286,-82.2004161242397,-82.642665076363
2.70285714285714,-81.7429868962282,-82.1278287907452
2.70857142857143,-81.2889728846176,-81.6117411880401
2.71428571428571,-80.8395745250832,-81.0958465217599
2.72,-80.3959420922336,-80.5815493028656
2.72571428571429,-79.9591716632322,-80.070209382973
2.73142857142857,-79.5303017313055,-79.5631377076188
2.73714285714286,-79.1103104518672,-79.0615927236191
2.74285714285714,-78.7001134964495,-78.5667774164885
